Product,Vendor,MDE_SoftwareName
SyncBackFree,2BrightSparks,
8x8 - Virtual Office,"8x8, Inc.",
8x8 Work (x64) - MSI Install,"8x8, Inc.",
Adobe Acrobat 2015 Classic,"Adobe Systems, Inc.",acrobat
Adobe Acrobat 2017 Classic,"Adobe Systems, Inc.",acrobat
Adobe Acrobat 2020 Classic,"Adobe Systems, Inc.",acrobat
Adobe Acrobat DC Continuous,"Adobe Systems, Inc.",acrobat_dc
Adobe Acrobat DC Continuous (x64),"Adobe Systems, Inc.",acrobat_dc
Adobe Acrobat Reader 2015 Classic,"Adobe Systems, Inc.",acrobat_reader_dc
Adobe Acrobat Reader 2017 Classic,"Adobe Systems, Inc.",acrobat_reader_dc
Adobe Acrobat Reader 2020 Classic,"Adobe Systems, Inc.",acrobat_reader_dc
Adobe Acrobat Reader DC Continuous (en-US),"Adobe Systems, Inc.",acrobat_reader_dc
Adobe Acrobat Reader DC Continuous (x64),"Adobe Systems, Inc.",acrobat_reader_dc
Adobe Acrobat Reader DC Continuous MUI,"Adobe Systems, Inc.",acrobat_reader_dc
Adobe Acrobat Reader DC Continuous MUI (x64),"Adobe Systems, Inc.",acrobat_reader_dc
Adobe Connect (MSI),"Adobe Systems, Inc.",adobe_connect_application
Adobe Digital Editions,"Adobe Systems, Inc.",digital_editions
Adobe Flash Player Removal Tool,"Adobe Systems, Inc.",
Adobe Lightroom (x64),"Adobe Systems, Inc.",
Adobe Lightroom (x86),"Adobe Systems, Inc.",
1Password (User),AgileBits Inc.,
Airtame (MSI),Airtame,
Amazon Corretto 11 (x64),Amazon Corretto,
Amazon Corretto 16 (x64),Amazon Corretto,
Amazon Corretto 17 (x64),Amazon Corretto,
Amazon Corretto 8 (x64),Amazon Corretto,
Amazon Corretto 8 (x86),Amazon Corretto,
Amazon Corretto Latest (x64),Amazon Corretto,
Amazon WorkSpaces,"Amazon Web Services, Inc.",amazon_workspaces
PDF Split And Merge,Andrea Vacondio,
Apache Tomcat 10,Apache Software Foundation,tomcat
Apache Tomcat 6,Apache Software Foundation,tomcat
Apache Tomcat 7,Apache Software Foundation,tomcat
Apache Tomcat 8,Apache Software Foundation,tomcat
Apache Tomcat 8.5,Apache Software Foundation,tomcat
Apache Tomcat 9,Apache Software Foundation,tomcat
OpenOffice,Apache Software Foundation,openoffice
